code,name,url
CAP,Capella Flavors,https://www.capellaflavors.com/
CC,Chef's Choice,https://chefsflavours.co.uk/
DFS,DIY Flavor Shack,https://www.diyflavorshack.com/
FA,FlavourArt,https://flavourart.com/en/
FLV,Flavorah,https://www.flavorah.com/
FW,Flavor West,https://www.flavorwest.com/
HS,Hangsen,http://www.hkhangsen.com/
INW,Inawera Flavours,https://www.inaweraflavours.com/
JF,Jungle Flavors,https://flavorjungle.com/
LB,Liquid Barn,https://www.liquidbarn.com/
MB,Molinberry,https://molinberryflavours.com/
OOO,One on One Flavors,https://www.oooflavors.com/
OTHR,Other,
RF,Real Flavors,https://www.diy-ejuice.com/Real-Flavors-s/1915.htm
SA,SolubArome,https://www.solubarome.fr/boutique/
TPA,The Perfumer's Apprentice,https://shop.perfumersapprentice.com/
VT,Vape Train Australia,https://www.vapetrain.com.au/
WF,Wonder Flavors,https://www.wonderflavours.com/
FE,Flavors Express,https://flavorjungle.com/collections/flavorsexpress
PUR,Purilum,https://purilum.com/
BF,Baker Flavors,http://bakerflavors.ru/formbf_eng.htm
DF,Delosi Flavors,https://delosilabs.com/
DV,Decadent Vapours,https://decadentvapours.com/
EUR,Euro Flavors,https://euroflavor.com/
FM,FlavorMonks,https://www.flavormonks.com/
FP,Flavor Phoenix,https://www.diyvaporsupply.com/brands/Flavor-Phoenix.html
FR,Flavor Revolution,https://alltheflavors.com/vendors/fr-flavor-revolution
GF,German Flavours,https://www.germanflavours.de/
HC,Health Cabin,https://www.healthcabin.net/usa/
LA,LorAnn Oils,https://www.lorannoils.com/
MF,Medicine Flower,https://www.medicineflower.com/
NR,River Supply Co,https://riversupplyco.com/
SC,Super Concentrates,
SM,Stixx Mixx,https://www.stixxmixx.com/
VZ,Vaping Zone,https://www.vapingzone.com/
VV,Vampire Vapes,https://www.vampirevape.co.uk/
OSD,One Stop DIY Shop,https://www.onestopdiyshop.com/
