vendorCode,flavorName,atfAverage
CAP,27 Bears,4.14%
CAP,27 Fish,5.23%
CAP,Cake Batter,1.57%
CAP,Candied Watermelon,7.06%
CAP,Cereal 27,2.83%
CAP,Cinnamon Sugar,1.46%
CAP,Creamy Yogurt,2.86%
CAP,Cucumber,2.09%
CAP,Double Apple,2.83%
CAP,Double Chocolate,2.25%
CAP,Double Watermelon,3.56%
CAP,French Vanilla,2.10%
CAP,Fruit Circles,6.42%
CAP,Funnel Cake,2.17%
CAP,Gingerbread,2.01%
CAP,Golden Butter,0.78%
CAP,Golden Pineapple,2.51%
CAP,Graham Cracker,1.56%
CAP,Green Apple,2.71%
CAP,Hibiscus,1.50%
CAP,Jelly Candy,2.07%
CAP,Juicy Orange,3.01%
CAP,Lemon Lime,2.49%
CAP,New York Cheesecake,3.13%
CAP,Rainbow Candy,3.39%
CAP,Sugar Cookie,3.24%
CAP,Super Sweet,0.57%
CAP,Sweet Guava,3.66%
CAP,Sweet Strawberry,3.51%
CAP,Sweet Tangerine,2.11%
CAP,Sweet Watermelon,4.02%
CAP,Vanilla Bean Ice Cream,2.66%
CAP,Vanilla Cupcake,2.25%
CAP,Vanilla Custard,3.07%
CAP,Vanilla Whipped Cream,1.87%
CAP,Yellow Peach,2.78%
CC,Clotted cream Fudge,4.74%
CC,Creme Caramel,1.43%
CC,Honeycomb Ice Cream,3.14%
DFS,HOLY HOLY GRAIL RY4,5.32%
DFS,Holy Vanilla,1.45%
FA,Almond,1.11%
FA,Apple Pie,1.86%
FA,Aurora,0.67%
FA,Bergamot,0.70%
FA,Bilberry,0.80%
FA,Black Fire,0.83%
FA,Blackcurrant,1.29%
FA,Blood Orange,1.64%
FA,Butter,0.60%
FA,Cardamom,0.40%
FA,Cookie,1.30%
FA,Corn,1.23%
FA,Cream Fresh,1.18%
FA,Custard,1.81%
FA,Forrest Mix (forest Fruit Mix),2.83%
FA,Fuji,2.06%
FA,Graham Crust,1.51%
FA,Honey,0.52%
FA,Jammy/Candy Wizard,0.64%
FA,Kiwi,2.62%
FA,Lemon Sicily,1.57%
FA,Lime Tahity Cold Pressed,1.09%
FA,Lime Tahity Distilled,1.12%
FA,Liquid Amber,0.60%
FA,Maple Syrup,1.05%
FA,Marshmallow,1.29%
FA,Marzipan,0.91%
FA,Meringue,1.12%
FA,Milk,1.58%
FA,New York Cheesecake,2.08%
