vendorCode,flavorName,atfAverage
BF,Blossom Honey,0.75%
BF,Caramel,0.58%
BF,Chocolate Truffle,0.72%
BF,Cocoa Bean,0.70%
BF,Coffee Mocha,0.34%
BF,Cream Charlotte,0.74%
BF,Eucalyptus,0.38%
BF,Irish Cream,0.56%
BF,Klondike Tobacco,0.98%
BF,Mandarin,0.50%
BF,Mango Mix,0.63%
BF,Multi Cereal,1.00%
BF,Pineapple,0.60%
BF,Strawberry fresh,1.00%
BF,Strong Orange,0.88%
BF,Sweet Orange,0.75%
BF,Sweet Vanilla,1.02%
BF,Vanilla Classic,1.00%
BF,Vanilla Sponge Cake,0.51%
BF,Wild Berries,1.00%
CAP,Crispy Bacon,0.25%
CAP,Crispy Bacon,0.25%
CAP,Espresso,1.00%
CAP,Golden Butter,0.78%
CAP,Golden Butter,0.78%
CAP,Honey,0.86%
CAP,Hot Cinnamon Candy,0.36%
CAP,Hot Cinnamon Candy,0.36%
CAP,Maple (pancake) Syrup,0.86%
CAP,Maple (pancake) Syrup,0.92%
CAP,Rhubarb,0.50%
CAP,Super Sweet,0.57%
CC,Brazilian Orange,0.50%
CC,Coconut,1.00%
CC,English Trifle,0.13%
CC,Milkshake,0.50%
CC,Mince Pie,0.50%
CHF,Clear Storm Extra (CVC),1.00%
DF,Banana,0.90%
DF,Cinnamon Fireball,1.00%
DF,Cinnamon Fish,1.00%
DF,Dulce De Leche,0.50%
DF,German Chocolate,0.50%
DF,Grape,0.50%
DF,Horchata,1.00%
DF,Malted Milk,0.50%
DF,Mega Sweet,0.89%
DF,Sweet - Vanillin,0.88%
DF,Toasted Marshmallow,0.79%
DFS,AR Green Guava (PG),0.83%
DFS,AR Peanut (PG),0.63%
DFS,AR Raspberry (PG),0.25%
DFS,BlueBerry,1.00%
DFS,Butterscotch,1.00%
DFS,Cafe Latte,0.88%
DFS,Clear Black Cherry,0.40%
DFS,Cocoa,1.00%
DFS,Sour Powder,1.00%
DFS,Spearmint,0.10%
DKS,Burley,1.00%
DKS,Lampone,0.75%
DV,Blueberry,0.50%
DV,Candyfloss,1.00%
DV,Menthol,1.00%
EJM,RY S'mores ,0.38%
EUR,Amarena Cherry,0.75%
EUR,Green Mango,0.50%
EUR,Sweet Strawberry,0.25%
EUR,Sweet Watermelon,0.25%
FA,Anise,0.95%
FA,Anise,0.98%
FA,Aurora,0.67%
FA,Aurora,0.69%
FA,Barley Malt,0.47%
FA,Barley Malt,0.47%
FA,Bell Pepper,0.60%
FA,Bell Pepper,0.60%
FA,Bergamot,0.70%
FA,Bergamot,0.71%
FA,Bilberry,0.80%
FA,Bilberry,0.80%
FA,Bitter Wizard,0.66%
FA,Bitter Wizard,0.67%
FA,Black Fire,0.83%
FA,Black Fire,1.03%
FA,Bone Marrow,0.20%
FA,Bone Marrow,0.20%
FA,Booster (tiramisu),0.84%
FA,Booster (tiramisu),0.85%
FA,Bread Crust,0.53%
FA,Bread Crust,0.78%
FA,Butter,0.60%
FA,Butter,0.60%
FA,Cardamom,0.40%
FA,Cardamom,0.40%
FA,Cherryl (cherry, Black),0.98%
FA,Cherryl (cherry, Black),0.99%
FA,Chestnut,0.62%
FA,Chestnut,0.62%
FA,Chilly Hot Oil Soluble,0.10%
FA,Chilly Hot Oil Soluble,0.10%
FA,Cinnamon Ceylon,0.67%
